N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"55,600",800,-1.42%,100,"3,319,199","5,969,783",55.82,"21,982,958",17.40,8.69,
2,SK하이닉스,"78,700",0,0.00%,"5,000","572,938","728,002",47.14,"4,417,569",25.06,4.25,
3,NAVER,"328,500","10,500",-3.10%,100,"539,605","164,263",55.46,"1,168,713",76.57,10.56,
4,LG화학,"743,000","25,000",-3.26%,"5,000","524,501","70,592",36.32,"762,299",128.08,1.84,
5,삼성바이오로직스,"773,000","6,000",-0.77%,"2,500","511,455","66,165",10.20,"123,765",148.91,4.77,
6,셀트리온,"294,000","5,500",-1.84%,"1,000","396,882","134,994",21.22,"603,813",99.16,11.19,
7,삼성전자우,"47,500",400,-0.84%,100,"390,871","822,887",87.57,"2,835,048",14.86,N/A,
8,현대차,"172,500","4,000",-2.27%,"5,000","368,578","213,668",31.82,"2,865,128",24.86,4.32,
9,카카오,"402,000","8,000",-1.95%,500,"353,816","88,014",32.06,"1,160,453",-229.71,-5.81,
10,삼성SDI,"439,000","13,500",-2.98%,"5,000","301,876","68,765",41.89,"425,979",161.28,2.94,
11,LG생활건강,"1,453,000","30,000",-2.02%,"5,000","226,932","15,618",45.22,"32,106",33.14,20.32,
12,현대모비스,"230,000","3,500",-1.50%,"5,000","218,626","95,055",43.68,"440,423",12.53,7.28,
13,삼성물산,"107,500","2,000",-1.83%,100,"200,904","186,887",14.43,"531,470",18.78,4.77,
14,SK텔레콤,"237,500","3,500",-1.45%,500,"191,771","80,746",35.68,"483,197",19.49,3.92,
15,엔씨소프트,"813,000","22,000",-2.63%,500,"178,486","21,954",49.67,"122,912",34.24,14.72,
16,기아차,"42,150",550,-1.29%,"5,000","170,861","405,363",38.87,"1,505,135",16.05,6.50,
17,넷마블,"197,500","3,000",+1.54%,100,"169,468","85,807",22.59,"2,553,479",81.71,3.54,
18,POSCO,"186,000","3,000",-1.59%,"5,000","162,168","87,187",52.18,"284,854",17.68,4.18,
19,KB금융,"36,950",450,-1.20%,"5,000","153,641","415,808",65.55,"1,617,330",4.83,8.92,
20,SK,"212,000","4,500",-2.08%,200,"149,164","70,360",22.25,"282,909",-408.48,4.31,
21,SK바이오팜,"190,000","8,000",+4.40%,500,"148,795","78,313",2.14,"1,249,025",-172.73,-313.66,
22,SK이노베이션,"154,000","3,000",+1.99%,"5,000","142,397","92,466",23.67,"1,592,829",-6.31,-0.20,
23,신한지주,"29,650",350,-1.17%,"5,000","141,548","477,397",62.46,"2,268,153",4.45,9.09,
24,LG,"80,100","2,900",-3.49%,"5,000","138,218","172,557",34.92,"359,763",17.10,5.87,
25,LG전자,"84,000","1,700",-1.98%,"5,000","137,464","163,648",34.32,"968,828",33.71,0.22,
26,한국전력,"20,700",350,-1.66%,"5,000","132,887","641,964",17.64,"4,101,904",-14.43,-3.42,
27,삼성생명,"62,200","2,100",-3.27%,500,"124,400","200,000",12.21,"982,136",13.83,3.26,
28,삼성에스디에스,"157,000","2,500",-1.57%,500,"121,483","77,378",12.55,"152,676",23.31,11.76,
29,KT&G,"82,700",900,-1.08%,"5,000","113,541","137,292",42.40,"401,288",11.06,12.39,
30,삼성전기,"135,000","5,000",+3.85%,"5,000","100,836","74,694",32.42,"1,210,153",41.55,10.18,
31,아모레퍼시픽,"169,500","2,500",-1.45%,500,"99,087","58,458",31.08,"234,217",85.22,5.36,
32,삼성화재,"182,000","6,000",-3.19%,500,"86,222","47,375",47.12,"112,043",13.91,4.85,
33,하나금융지주,"27,950",100,-0.36%,"5,000","83,918","300,242",64.35,"1,204,355",3.31,8.77,
34,한화솔루션,"48,500","2,800",+6.13%,"5,000","77,534","159,864",19.99,"23,353,631",-46.81,-4.02,
35,신풍제약,"146,000","10,500",-6.71%,500,"77,358","52,985",6.83,"3,116,701","4,424.24",0.80,
36,고려아연,"398,000","4,000",-1.00%,"5,000","75,103","18,870",24.24,"48,656",13.65,9.76,
37,한온시스템,"12,650",50,-0.39%,100,"67,526","533,800",20.88,"1,654,135",40.54,14.98,
38,S-Oil,"56,900",500,-0.87%,"2,500","64,060","112,583",74.21,"254,454",-7.82,1.01,
39,롯데케미칼,"183,000",500,-0.27%,"5,000","62,724","34,275",29.43,"130,430",34.92,5.51,
40,KT,"23,500",300,-1.26%,"5,000","61,361","261,112",45.28,"965,370",10.24,4.61,
41,우리금융지주,"8,460",130,-1.51%,"5,000","61,104","722,268",26.31,"1,634,070",4.46,N/A,
42,미래에셋대우,"9,450",270,-2.78%,"5,000","60,982","645,316",13.28,"3,654,572",11.25,7.56,
